Sample ID,User ID,Date ,Time ,ng/ul ,A260 ,A280 ,260/280 ,260/230 ,Constant ,Cursor Pos.,Cursor abs.,340 raw,welcher drop,,Legende
53,Default,4/13/2018,11:48,146.98,2.94,1.59,1.85,2.05,50,230,1.435,0.128,nanodrop_1,,
21,Default,4/13/2018,11:48,116.59,2.332,1.249,1.87,1.16,50,230,2.007,0.09,nanodrop_1,,
278,Default,4/13/2018,11:49,174.04,3.481,1.847,1.88,2.09,50,230,1.664,0.002,nanodrop_1,,
456,Default,4/13/2018,11:50,93.33,1.867,0.991,1.88,1.75,50,230,1.069,0.025,nanodrop_1,,
453,Default,4/13/2018,11:50,205.56,4.111,2.191,1.88,2.01,50,230,2.049,0.044,nanodrop_1,,
274,Default,4/13/2018,11:51,116.47,2.329,1.235,1.89,1.63,50,230,1.426,0,nanodrop_1,,
269,Default,4/13/2018,11:52,137.55,2.751,1.496,1.84,1.37,50,230,2.003,0,nanodrop_1,,
127,Default,4/13/2018,11:53,60.76,1.215,0.66,1.84,0.27,50,230,4.481,0.046,nanodrop_1,,
158,Default,4/13/2018,11:53,69.1,1.382,0.736,1.88,1.47,50,230,0.94,0,nanodrop_1,,
112,Default,4/13/2018,11:54,191.51,3.83,2.049,1.87,0.76,50,230,5.039,0.058,nanodrop_1,,
140,Default,4/13/2018,11:54,29.91,0.598,0.317,1.89,0.47,50,230,1.284,-0.055,nanodrop_1,,
253,Default,4/13/2018,11:55,47.65,0.953,0.492,1.94,0.29,50,230,3.243,-0.018,nanodrop_1,,
292,Default,4/13/2018,11:56,57.76,1.155,0.628,1.84,0.23,50,230,4.999,0.808,nanodrop_1,,
247,Default,4/13/2018,11:56,260.77,5.215,2.779,1.88,2.15,50,230,2.423,-0.004,nanodrop_1,,
