IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
401,17-51218-UTF 1607,NA,52.530625,13.468437,1,Berlin,autolytic,female,adult, 4.90    ,yes,yes,yes,yes,NA,"mammal, snail, fruit pits, fish",BA Lichtenberg   R11,14/08/2017 08:43,Rotfuchs,"Fundort: Landsberger Allee 174, 10369 BerlinPolizei A 64"
402,17-51218-UTF 1627,14/08/2017,NA,NA,NA,Berlin,excellent,female,adult, 5.30    ,yes,yes,yes,yes,NA,fruit pits (probably plum),Setsverw. Just./Verbr.  Berlin,15/08/2017 08:29,Rotfuchs,Polizeiliches  AZ: 170814-1330-021681
403,17-51218-UTF 1628,15/08/2017,52.478169 ,13.385816,1,Berlin,excellent,male,juvenil, 5.20    ,yes,yes,yes,yes,no,pray (mammal),BA Tempelhof-Schöneberg   R07,15/08/2017 08:29,Rotfuchs,"Fundort: Tempelhofer Damm/ Paradestraße, 12101 BerlinPolizei A 44Vorgangsnummer: 170815-1000-029185"
404,17-51218-UTF 1639,15/08/2017,52.51339,13.32819,1,Berlin,excellent,female,juvenil, 3.00    ,yes,yes,yes,yes,no,empty,BA Charlottenburg-Wilmersdf. R04,16/08/2017 08:11,Rotfuchs,"Fundort: Straße des 17. Juni, 124, 10263 BerlinPolizei A 25Vorgangsnummer: 170815-1700-037586"
405,17-51218-UTF 1638,16/08/2017,52.434344 ,13.389936,1,Berlin,excellent,female,juvenil, 3.60    ,yes,yes,yes,yes,no,herbal matter,BA Tempelhof-Schöneberg   R07,16/08/2017 08:11,Rotfuchs,"Fundort: Mariendorfer Damm/ Hundsteinweg/ Körtingstraße, 12107 BerlinPolizei A 47Vorgangsnummer: 170816-0446-316719"
406,17-51218-UTF 1640,NA,52.55482,13.414206,1,Berlin,excellent,female,adult, 5.00    ,yes,yes,yes,yes,no,herbal matter,BA Pankow   R03,16/08/2017 08:11,Rotfuchs,"Fundort: Berliner Straße 75, 13189 Berlin"
407,17-51218-UTF 1641,16/08/2017,52.433252,13.263455,1,Berlin,excellent,female,adult, 5.10    ,yes,yes,yes,yes,no,herbal matter,BA Steglitz-Zehlendorf   R06,16/08/2017 08:11,Rotfuchs,"Fundort: Bogenstraße 2, 14169 BerlinPolizei A 46Vorgangsnummer: 170816-1100-233310"
408,17-51218-UTF 1667,20/08/2017,52.566965,13.22237,1,Berlin,excellent,female,adult, 4.60    ,yes,yes,yes,yes,no,pieces of leather,BA Spandau   R05,21/08/2017 10:15,Rotfuchs,"Fundort: Elkartweg 6, 13587 BerlinPolizei A 21Vorgangsnummer: 170820-0700-021748"
409,17-51218-UTF 1708,25/08/2017,52.630796,13.293719,1,Berlin,autolytic,female,juvenil, 3.40    ,yes,yes,yes,yes,no,herbal matter,BA Reinickendorf  R12,28/08/2017 08:28,Rotfuchs,"Fundort: Burgfrauenstraße 19, 13465 BerlinVorgangsnummer: 2181266318"
410,17-51218-UTF 1709,26/08/2017,52.619388,13.313738,1,Berlin,excellent,male,juvenil, 3.70    ,yes,yes,yes,yes,no,empty,BA Reinickendorf  R12,28/08/2017 08:31,Rotfuchs,"Fundort: Berliner Straße 110, 13467 BerlinPolizei A 12Vorgangsnummer: 170826-0900-024719"
